4
1,47,3,1,0,4,1
1,11,3,1,1,3,0
2,0,36,0,16,0,0
2,0,90,0,16,0,1
3,9,1,1,0,0,0
3,15,1,1,1,1,1
4,3,65,0,16,5,0
4,3,28,0,16,5,1
5,27,2,1,1,5,0
5,21,2,1,0,1,1
6,0,55,0,14,5,0
6,0,38,0,14,5,1
7,70,2,1,1,2,1
7,59,2,1,0,3,0
8,90,2,1,0,1,1
8,25,2,1,0,5,0
9,65,1,1,1,1,0
9,63,1,1,0,5,0
10,13,0,1,1,0,0
10,40,0,1,0,0,1
11,1,82,0,14,4,0
11,1,23,0,14,4,1
12,2,28,0,16,16,0
12,2,7,0,16,16,1
13,89,2,1,1,0,1
13,11,2,1,1,4,1
14,2,70,0,16,2,0
14,2,47,0,16,2,1
15,2,34,0,14,2,0
15,2,53,0,14,2,1
16,76,2,1,1,2,0
16,22,2,1,0,3,0
17,73,0,1,0,4,1
17,17,0,1,0,5,1
18,2,57,0,14,14,0
18,2,23,0,14,14,1
19,1,11,0,14,5,0
19,1,73,0,14,5,1
20,0,89,0,16,18,0
20,0,13,0,16,18,1
21,2,73,0,14,9,0
21,2,12,0,14,9,1
22,2,85,0,14,8,0
22,2,16,0,14,8,1
23,67,1,1,0,0,0
23,39,1,1,1,5,0
24,1,9,0,14,18,0
24,1,8,0,14,18,1
25,3,24,0,16,5,0
25,3,20,0,16,5,1
26,0,33,0,14,17,0
26,0,88,0,14,17,1
27,1,66,0,14,19,0
27,1,12,0,14,19,1
28,7,2,1,0,4,1
28,11,2,1,1,2,1
29,2,57,0,14,4,0
29,2,80,0,14,4,1
30,10,1,1,0,5,0
30,30,1,1,0,3,0
31,3,43,0,16,1,0
31,3,44,0,16,1,1
32,40,3,1,0,0,1
32,20,3,1,0,5,0
33,1,84,0,14,0,0
33,1,82,0,14,0,1
34,2,8,0,16,7,0
34,2,61,0,16,7,1
35,72,2,1,0,3,1
35,62,2,1,1,3,0
36,61,2,1,0,0,1
36,78,2,1,0,3,1
37,3,12,0,14,7,0
37,3,46,0,14,7,1
38,2,6,0,16,15,0
38,2,33,0,16,15,1
39,3,42,0,16,13,0
39,3,58,0,16,13,1
40,54,0,1,0,4,1
40,15,0,1,1,2,0
41,2,9,0,14,3,0
41,2,25,0,14,3,1
42,62,3,1,0,1,1
42,51,3,1,0,3,0
43,1,86,0,16,4,0
43,1,66,0,16,4,1
44,60,0,1,0,1,0
44,5,0,1,1,2,1
45,90,3,1,1,4,0
45,51,3,1,0,3,1
46,1,23,0,16,18,0
46,1,33,0,16,18,1
47,3,85,0,16,19,0
47,3,77,0,16,19,1
48,13,3,1,1,3,0
48,90,3,1,0,5,0
49,1,38,0,14,11,0
49,1,77,0,14,11,1
50,1,17,0,14,12,0
50,1,81,0,14,12,1
51,75,0,1,1,4,1
51,28,0,1,1,1,1
52,36,1,1,0,0,1
52,86,1,1,1,2,1
53,83,2,1,0,0,0
53,66,2,1,1,4,1
54,2,40,0,16,13,0
54,2,26,0,16,13,1
55,3,31,0,14,15,0
55,3,8,0,14,15,1
56,2,26,0,14,3,0
56,2,85,0,14,3,1
57,0,18,0,16,2,0
57,0,89,0,16,2,1
58,78,2,1,1,3,0
58,85,2,1,0,3,0
59,55,0,1,0,4,1
59,40,0,1,1,2,1
60,1,4,0,16,0,0
60,1,16,0,16,0,1
61,59,0,1,0,0,1
61,83,0,1,1,5,0
62,38,3,1,0,5,1
62,9,3,1,0,0,0
63,2,88,0,16,5,0
63,2,71,0,16,5,1
64,3,0,0,14,17,0
64,3,88,0,14,17,1
65,1,88,0,14,12,0
65,1,53,0,14,12,1
66,21,2,1,1,5,0
66,81,2,1,0,4,1
67,0,82,0,16,7,0
67,0,24,0,16,7,1
68,2,4,0,14,3,0
68,2,74,0,14,3,1
69,11,3,1,1,5,1
69,24,3,1,0,2,0
70,2,66,0,16,0,0
70,2,33,0,16,0,1
71,64,3,1,1,4,0
71,36,3,1,0,5,0
72,1,27,0,14,8,0
72,1,21,0,14,8,1
73,2,57,0,14,11,0
73,2,7,0,14,11,1
74,56,0,1,1,0,1
74,61,0,1,1,2,0
75,66,1,1,1,1,0
75,88,1,1,0,4,0
76,78,0,1,0,5,1
76,14,0,1,0,4,0
77,17,1,1,1,0,1
77,18,1,1,0,4,0
78,3,3,1,0,3,1
78,19,3,1,1,3,0
79,61,0,1,1,1,0
79,83,0,1,1,3,0
80,2,74,0,14,3,0
80,2,39,0,14,3,1
81,32,1,1,1,0,1
81,81,1,1,1,1,1
82,3,66,0,14,13,0
82,3,5,0,14,13,1
83,1,59,0,14,15,0
83,1,79,0,14,15,1
84,1,81,0,16,15,0
84,1,85,0,16,15,1
85,0,71,0,14,0,0
85,0,80,0,14,0,1
86,21,3,1,1,5,1
86,55,3,1,0,3,0
87,0,75,0,14,17,0
87,0,81,0,14,17,1
88,81,2,1,1,0,1
88,8,2,1,0,4,0
89,62,1,1,1,0,0
89,55,1,1,0,4,0
90,62,2,1,0,1,0
90,70,2,1,1,5,1
91,3,5,0,14,1,0
91,3,49,0,14,1,1
92,67,2,1,1,1,1
92,22,2,1,0,0,0
93,3,39,0,14,0,0
93,3,88,0,14,0,1
94,0,5,0,16,0,0
94,0,71,0,16,0,1
95,2,25,0,16,10,0
95,2,14,0,16,10,1
96,3,39,0,14,7,0
96,3,80,0,14,7,1
97,3,54,0,16,4,0
97,3,54,0,16,4,1
98,3,44,0,14,18,0
98,3,11,0,14,18,1
99,1,46,0,14,7,0
99,1,27,0,14,7,1
100,3,58,0,14,17,0
100,3,39,0,14,17,1
101,27,2,1,1,1,1
101,81,2,1,1,3,0
102,3,26,0,14,16,0
102,3,35,0,14,16,1
103,1,35,0,14,6,0
103,1,45,0,14,6,1
104,79,3,1,0,1,1
104,51,3,1,0,5,1
105,1,82,0,14,11,0
105,1,2,0,14,11,1
106,1,65,0,16,13,0
106,1,87,0,16,13,1
107,23,3,1,1,4,0
107,17,3,1,0,2,1
108,1,23,0,14,13,0
108,1,64,0,14,13,1
109,58,3,1,1,0,0
109,8,3,1,1,3,0
110,74,3,1,0,1,1
110,59,3,1,0,4,0
111,0,54,0,16,13,0
111,0,72,0,16,13,1
112,1,37,0,14,3,0
112,1,68,0,14,3,1
113,2,40,0,16,1,0
113,2,80,0,16,1,1
114,2,65,0,14,12,0
114,2,58,0,14,12,1
